year,pubpriv,hiqual,degree,sex,age,occ1_lab,rwage,ln_wage
2010.0,Private,GCE A Level or equiv,0.0,Male,36.0,"PROCESS, PLANT AND MACHINE OPERATIVES",23.259836685463277,3.078542678003134
2003.0,Private,GCSE grades A-C or equiv,0.0,Female,34.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,27.957561454126044,3.085647316140145
2017.0,Private,Degree or equivalent,1.0,Male,29.0,PROFESSIONAL OCCUPATIONS,26.21697201038355,3.0123361100604003
2015.0,Private,Degree or equivalent,1.0,Male,56.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",32.73432475021827,2.2194235574658823
2009.0,Private,Degree or equivalent,1.0,Male,57.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",-2.1408595040387937,1.828015130673918
2005.0,Private,GCE A Level or equiv,0.0,Male,18.0,SKILLED TRADE OCCUPATIONS,6.481183222065521,1.6035644935850395
2002.0,Public,Degree or equivalent,1.0,Female,55.0,PROFESSIONAL OCCUPATIONS,19.064647051963146,2.8567348411771234
2002.0,Public,Degree or equivalent,1.0,Male,53.0,PROFESSIONAL OCCUPATIONS,37.315262256259814,3.339070426955471
2020.0,Private,Degree or equivalent,1.0,Female,40.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,26.741450956250183,3.3541850818405576
2006.0,Private,Other qualifications,0.0,Male,36.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,1.5323156011995582,1.3590351612724902
2008.0,Private,Degree or equivalent,1.0,Male,59.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",44.41680590018309,3.485885555610487
2007.0,Private,GCE A Level or equiv,0.0,Male,31.0,"PROCESS, PLANT AND MACHINE OPERATIVES",14.093373765490377,2.3095227960917466
2011.0,Private,GCSE grades A-C or equiv,0.0,Male,17.0,SKILLED TRADE OCCUPATIONS,6.488925358373797,1.8849194118386778
2014.0,Public,GCE A Level or equiv,0.0,Female,49.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,11.03114214904837,2.109899701044119
2005.0,Private,GCSE grades A-C or equiv,0.0,Male,47.0,"PROCESS, PLANT AND MACHINE OPERATIVES",11.325613679360861,2.255797496535785
2006.0,Private,Degree or equivalent,1.0,Male,52.0,PROFESSIONAL OCCUPATIONS,17.122667347246484,2.7580677241390488
2013.0,Private,Other qualifications,0.0,Male,45.0,ELEMENTARY OCCUPATIONS,7.148623646509119,1.7681494309436472
2017.0,Public,Degree or equivalent,1.0,Female,43.0,PROFESSIONAL OCCUPATIONS,3.0224864885488785,2.3406714193985163
2007.0,Public,Degree or equivalent,1.0,Female,40.0,PROFESSIONAL OCCUPATIONS,16.149045132998303,2.6898685003769685
2018.0,Private,Degree or equivalent,1.0,Female,26.0,PROFESSIONAL OCCUPATIONS,20.837236451662584,2.739799200336994
2010.0,Private,GCE A Level or equiv,0.0,Female,18.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,7.351060019300502,1.7005276291023341
2005.0,Private,GCSE grades A-C or equiv,0.0,Female,40.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,4.57503253249829,1.4169982910981822
2009.0,Private,GCE A Level or equiv,0.0,Female,46.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,15.820540045137935,2.4068648942866187
2013.0,Private,Degree or equivalent,1.0,Male,36.0,SKILLED TRADE OCCUPATIONS,8.796855213904527,2.5265051598274333
2003.0,Public,GCE A Level or equiv,0.0,Female,51.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,15.204576953398625,2.3545888334940064
2008.0,Private,GCE A Level or equiv,0.0,Female,32.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,7.473414064301975,1.7321186523805185
2018.0,Private,GCSE grades A-C or equiv,0.0,Female,48.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,9.894310051364139,2.4844742445706776
2004.0,Private,Higher education,0.0,Male,43.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,6.83548512042671,1.9110706732360672
2011.0,Public,GCE A Level or equiv,0.0,Female,49.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,9.907075757567169,2.2146631074403027
2009.0,Private,GCSE grades A-C or equiv,0.0,Female,49.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,15.203415038299159,2.1589097015892422
2007.0,Private,Other qualifications,0.0,Female,37.0,ELEMENTARY OCCUPATIONS,4.565815081973476,1.433466297009296
2009.0,Private,GCE A Level or equiv,0.0,Male,42.0,SKILLED TRADE OCCUPATIONS,12.603731991018426,2.501330015812972
2017.0,Private,GCSE grades A-C or equiv,0.0,Male,40.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",31.452931525908927,2.880818751753928
2013.0,Private,GCE A Level or equiv,0.0,Female,20.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,2.9391577428756346,1.2105095320415344
2003.0,Private,Other qualifications,0.0,Male,33.0,PROFESSIONAL OCCUPATIONS,27.283292251916535,3.1691098629889742
2007.0,Private,GCSE grades A-C or equiv,0.0,Female,50.0,ELEMENTARY OCCUPATIONS,4.943979250634387,1.4120890354641746
2007.0,Public,No qualification,0.0,Female,54.0,ELEMENTARY OCCUPATIONS,9.05022397830677,2.001049892969831
2009.0,Public,Don't know,0.0,Male,28.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,-6.957395297467254,1.8964130369990482
2010.0,Public,Degree or equivalent,1.0,Male,57.0,PROFESSIONAL OCCUPATIONS,40.306861804878906,3.8261569081459506
2007.0,Public,Degree or equivalent,1.0,Male,26.0,PROFESSIONAL OCCUPATIONS,12.530611145980265,2.1233809670377304
2013.0,Private,Degree or equivalent,1.0,Female,43.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,20.117911619810066,2.657188638606249
2010.0,Public,Higher education,0.0,Female,53.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,22.714129992185452,2.940405730812978
2009.0,Private,GCSE grades A-C or equiv,0.0,Male,46.0,SKILLED TRADE OCCUPATIONS,11.670527441104841,2.2652456583278333
2002.0,Public,GCSE grades A-C or equiv,0.0,Male,24.0,ELEMENTARY OCCUPATIONS,5.732516811530802,1.7678148935204412
2002.0,Private,Higher education,0.0,Male,40.0,SKILLED TRADE OCCUPATIONS,34.117672651254004,3.924238570424648
2002.0,Private,Other qualifications,0.0,Female,48.0,ELEMENTARY OCCUPATIONS,12.939168376370727,2.40065175894615
2014.0,Private,GCE A Level or equiv,0.0,Female,37.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,5.425869361149056,1.7733780684615803
2006.0,Private,GCSE grades A-C or equiv,0.0,Male,17.0,"PROCESS, PLANT AND MACHINE OPERATIVES",5.558697024075951,1.3647026875817196
2005.0,Public,GCE A Level or equiv,0.0,Female,54.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,9.140407636092123,2.2248436981666058
2004.0,Private,GCE A Level or equiv,0.0,Female,52.0,ELEMENTARY OCCUPATIONS,8.998273608535692,2.1382362779151953
2005.0,Public,Degree or equivalent,1.0,Female,33.0,PROFESSIONAL OCCUPATIONS,16.895441530298246,2.565473463782706
2007.0,Public,Degree or equivalent,1.0,Female,51.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",45.46845849616679,3.3449912369191552
2004.0,Public,Degree or equivalent,1.0,Female,53.0,PROFESSIONAL OCCUPATIONS,24.448453359045345,2.6740466111485084
2005.0,Private,GCSE grades A-C or equiv,0.0,Male,42.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",40.7062468589437,3.3348368299407554
2007.0,Private,GCSE grades A-C or equiv,0.0,Female,17.0,ELEMENTARY OCCUPATIONS,6.273334120157827,1.503612406531222
2020.0,Private,Other qualifications,0.0,Male,34.0,SKILLED TRADE OCCUPATIONS,10.469770905128563,2.123027270279723
2009.0,Private,GCSE grades A-C or equiv,0.0,Male,27.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",7.598292939495735,2.0325834602469284
2007.0,Private,GCE A Level or equiv,0.0,Male,43.0,SKILLED TRADE OCCUPATIONS,13.907779936060209,2.790579138822803
2010.0,Private,GCE A Level or equiv,0.0,Male,38.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,26.981391162186497,3.3329092317166777
2004.0,Private,Degree or equivalent,1.0,Female,36.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,18.822119317933208,2.810346272318225
2020.0,Private,GCE A Level or equiv,0.0,Male,60.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",25.918399963235156,3.085958898418026
2013.0,Private,GCE A Level or equiv,0.0,Male,19.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,9.145228882385034,2.326641015863867
2008.0,Private,GCSE grades A-C or equiv,0.0,Male,41.0,SKILLED TRADE OCCUPATIONS,7.224044416732991,2.0128835292952307
2019.0,Private,GCSE grades A-C or equiv,0.0,Male,18.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,6.339961196569625,1.6369070628480942
2002.0,Private,Degree or equivalent,1.0,Male,29.0,PROFESSIONAL OCCUPATIONS,25.98342953909009,2.868446460454531
2015.0,Private,Degree or equivalent,1.0,Male,40.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",78.98184672066273,3.786795372744444
2002.0,Private,GCE A Level or equiv,0.0,Male,48.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,8.743901626646672,2.5462539756843876
2008.0,Private,No qualification,0.0,Male,58.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,25.592112349592462,3.08176010811185
2002.0,Private,GCSE grades A-C or equiv,0.0,Female,58.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,18.824833154353584,2.508565592303927
2007.0,Public,GCE A Level or equiv,0.0,Female,52.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,5.880588854394565,1.9494663654138957
2005.0,Private,GCSE grades A-C or equiv,0.0,Female,34.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,12.475904513444252,2.494551165324702
2015.0,Public,GCE A Level or equiv,0.0,Male,34.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,12.165823752328897,2.3373453362963943
2006.0,Public,Degree or equivalent,1.0,Female,41.0,PROFESSIONAL OCCUPATIONS,23.304093764185584,3.1394578130182382
2014.0,Private,GCE A Level or equiv,0.0,Male,32.0,PROFESSIONAL OCCUPATIONS,36.686173099230345,3.108766330593514
2010.0,Private,Degree or equivalent,1.0,Male,50.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,14.506472561378498,2.3980574737407507
2015.0,Private,Degree or equivalent,1.0,Male,55.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,36.97431013285172,3.222194587116447
2015.0,Private,No qualification,0.0,Female,49.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",7.2281987664713485,1.78337560235245
2008.0,Private,Higher education,0.0,Male,29.0,PROFESSIONAL OCCUPATIONS,14.364536266133316,2.4222670823232133
2009.0,Public,Degree or equivalent,1.0,Male,52.0,PROFESSIONAL OCCUPATIONS,28.448247872082106,3.620139216892463
2012.0,Private,Degree or equivalent,1.0,Male,58.0,SKILLED TRADE OCCUPATIONS,57.51004300865531,3.7190543095878903
2003.0,Private,Degree or equivalent,1.0,Male,41.0,PROFESSIONAL OCCUPATIONS,14.256532194127717,2.5301770793830443
2007.0,Public,Higher education,0.0,Male,37.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,16.254849131704873,2.675889225830705
2007.0,Private,GCE A Level or equiv,0.0,Male,29.0,SKILLED TRADE OCCUPATIONS,8.719541451995932,1.7637623510747211
2004.0,Public,Degree or equivalent,1.0,Female,42.0,PROFESSIONAL OCCUPATIONS,12.86960874235044,2.4154057820472765
2005.0,Private,GCE A Level or equiv,0.0,Male,60.0,"PROCESS, PLANT AND MACHINE OPERATIVES",9.56115570100938,1.5591445067206826
2018.0,Private,GCE A Level or equiv,0.0,Female,24.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",8.865601696432293,2.1410559369886464
2004.0,Private,GCSE grades A-C or equiv,0.0,Female,49.0,ELEMENTARY OCCUPATIONS,7.854925207039905,1.7907618001098915
2009.0,Private,No qualification,0.0,Female,58.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,4.698967611563159,1.6366520659423376
2017.0,Private,Degree or equivalent,1.0,Male,33.0,PROFESSIONAL OCCUPATIONS,40.37000708945975,3.0071096832507087
2008.0,Private,Degree or equivalent,1.0,Male,46.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",62.83184271003131,4.803209735992407
2015.0,Private,GCSE grades A-C or equiv,0.0,Female,20.0,ELEMENTARY OCCUPATIONS,7.347186562632925,1.8541047073567143
2002.0,Private,GCE A Level or equiv,0.0,Female,23.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,9.564495484604118,2.089411463891751
2015.0,Private,Other qualifications,0.0,Male,47.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",4.569136003445456,2.102447757829877
2007.0,Public,GCE A Level or equiv,0.0,Female,30.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",8.020903282248035,2.1056964686532686
2002.0,Public,GCSE grades A-C or equiv,0.0,Male,42.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,-140.10815835184576,1.8883005380048785
2006.0,Private,GCE A Level or equiv,0.0,Male,20.0,"PROCESS, PLANT AND MACHINE OPERATIVES",7.69101651566741,1.97302700226983
2011.0,Private,GCSE grades A-C or equiv,0.0,Female,22.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",5.2842375225787706,1.4727777516129001
2012.0,Public,GCSE grades A-C or equiv,0.0,Female,47.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,9.45839750698175,1.8314319407459465
2002.0,Private,Degree or equivalent,1.0,Female,45.0,PROFESSIONAL OCCUPATIONS,25.709208616061282,3.179531915135269
2018.0,Private,GCSE grades A-C or equiv,0.0,Female,47.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,13.120018383810137,2.4619155374663997
2020.0,Private,No qualification,0.0,Male,27.0,"PROCESS, PLANT AND MACHINE OPERATIVES",7.572921237587223,2.09964291123271
2003.0,Private,GCE A Level or equiv,0.0,Male,31.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,50.821219860121666,3.0680202149451294
2011.0,Private,No qualification,0.0,Female,51.0,"PROCESS, PLANT AND MACHINE OPERATIVES",5.8762077220572815,1.60853864277776
2007.0,Private,No qualification,0.0,Female,63.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,6.669982325795713,1.4737052997982927
2004.0,Private,GCSE grades A-C or equiv,0.0,Male,61.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,14.209075843195105,2.429478883301207
2003.0,Private,Degree or equivalent,1.0,Female,35.0,ELEMENTARY OCCUPATIONS,2.8088001160472054,1.5844852574956407
2005.0,Public,Higher education,0.0,Female,51.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,16.31735345048833,2.4708848505078973
2014.0,Private,No qualification,0.0,Female,59.0,ELEMENTARY OCCUPATIONS,7.095701807618635,1.6738965135425488
2007.0,Private,Higher education,0.0,Female,45.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,13.447388459910211,2.328204369033248
2010.0,Public,GCSE grades A-C or equiv,0.0,Female,50.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",10.22674203873934,2.0208431626794368
2011.0,Private,GCE A Level or equiv,0.0,Male,61.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,9.056641483580051,1.9912962037491497
2006.0,Public,GCE A Level or equiv,0.0,Female,45.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,12.689587917475249,2.5820312882945187
2020.0,Public,GCSE grades A-C or equiv,0.0,Female,40.0,ELEMENTARY OCCUPATIONS,5.976446143204457,1.4959273774002955
2017.0,Private,Higher education,0.0,Male,47.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",19.104307804926037,2.7493663573274434
2006.0,Private,Degree or equivalent,1.0,Male,31.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,12.051449315620257,2.486581872206395
2016.0,Private,GCE A Level or equiv,0.0,Male,61.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",9.090868804362394,3.179461770653343
2017.0,Private,GCE A Level or equiv,0.0,Male,29.0,SKILLED TRADE OCCUPATIONS,10.998117585534489,2.4211746721441023
2017.0,Public,GCE A Level or equiv,0.0,Male,43.0,PROFESSIONAL OCCUPATIONS,13.57662489501184,2.5306546749532015
2003.0,Private,GCE A Level or equiv,0.0,Female,33.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,15.225328105896214,2.6501360144166077
2018.0,Private,Degree or equivalent,1.0,Male,32.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",30.13818449990366,3.324103977459457
2007.0,Public,Degree or equivalent,1.0,Female,37.0,PROFESSIONAL OCCUPATIONS,10.885106431920484,2.496473640182598
2015.0,Public,GCE A Level or equiv,0.0,Female,27.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,10.415051323098139,1.9589665081527863
2006.0,Private,No qualification,0.0,Male,44.0,ELEMENTARY OCCUPATIONS,8.401811942482565,2.025127291574651
2002.0,Private,Other qualifications,0.0,Male,52.0,"PROCESS, PLANT AND MACHINE OPERATIVES",10.879750405178106,2.201270882118709
2016.0,Private,Degree or equivalent,1.0,Male,29.0,PROFESSIONAL OCCUPATIONS,26.774974849794766,3.0974789656493527
2013.0,Public,Degree or equivalent,1.0,Female,48.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,21.3688939463035,2.825351432294292
2007.0,Public,Degree or equivalent,1.0,Female,27.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,9.837563674887496,2.1290609787120736
2019.0,Private,Other qualifications,0.0,Female,60.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,7.684201231938469,2.0699135074082537
2016.0,Private,GCE A Level or equiv,0.0,Male,51.0,ELEMENTARY OCCUPATIONS,8.68292246166971,1.9102831947128542
2016.0,Private,GCE A Level or equiv,0.0,Male,45.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,19.280522372585327,2.942890598549271
2017.0,Private,Degree or equivalent,1.0,Male,30.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,25.896941409746425,3.048356916544355
2003.0,Public,Degree or equivalent,1.0,Male,64.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,21.134824033873752,2.2157775973906566
2009.0,Private,Other qualifications,0.0,Male,52.0,ELEMENTARY OCCUPATIONS,11.132712877948656,2.531203705502397
2003.0,Private,Higher education,0.0,Male,48.0,SKILLED TRADE OCCUPATIONS,20.727375912363687,2.8913430646968807
2014.0,Public,Degree or equivalent,1.0,Male,53.0,PROFESSIONAL OCCUPATIONS,38.88539084656578,3.6663696733511526
2020.0,Private,GCE A Level or equiv,0.0,Female,32.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,16.209344384519657,2.640203253332082
2015.0,Public,Degree or equivalent,1.0,Female,32.0,PROFESSIONAL OCCUPATIONS,18.214140691575324,2.776312462254261
2010.0,Private,No qualification,0.0,Male,47.0,ELEMENTARY OCCUPATIONS,9.39561418526017,2.2571669710543905
2008.0,Public,Higher education,0.0,Female,31.0,ELEMENTARY OCCUPATIONS,19.907175634735577,2.8693721229951796
2004.0,Private,GCSE grades A-C or equiv,0.0,Male,25.0,ELEMENTARY OCCUPATIONS,8.470590215512846,1.9715127404143178
2005.0,Public,Degree or equivalent,1.0,Female,51.0,PROFESSIONAL OCCUPATIONS,19.29950496550838,2.58406332051197
2010.0,Public,Degree or equivalent,1.0,Female,27.0,PROFESSIONAL OCCUPATIONS,11.48244129849234,2.311102723604897
2008.0,Public,Higher education,0.0,Female,58.0,PROFESSIONAL OCCUPATIONS,19.317337148664972,2.5953936849172408
2008.0,Private,Degree or equivalent,1.0,Male,49.0,PROFESSIONAL OCCUPATIONS,24.26988115968459,2.784511759820876
2020.0,Public,Degree or equivalent,1.0,Female,31.0,PROFESSIONAL OCCUPATIONS,17.562579532869957,2.463481510013935
2010.0,Private,No qualification,0.0,Male,61.0,SKILLED TRADE OCCUPATIONS,6.324191416433493,1.8905141000233296
2016.0,Private,GCSE grades A-C or equiv,0.0,Female,19.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,7.419722072842453,1.5244458042932574
2002.0,Private,GCE A Level or equiv,0.0,Female,20.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,7.235304690892552,1.7460196420377443
2005.0,Private,Higher education,0.0,Male,49.0,"PROCESS, PLANT AND MACHINE OPERATIVES",16.018691526247498,2.7381129780143914
2003.0,Private,GCSE grades A-C or equiv,0.0,Female,47.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,11.1004929403773,2.041069683656406
2006.0,Private,Degree or equivalent,1.0,Female,61.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,6.329459025435845,1.8308927825546535
2005.0,Private,GCSE grades A-C or equiv,0.0,Female,46.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",6.072199119128378,1.9060761823174968
2003.0,Public,No qualification,0.0,Female,53.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,9.912224179693869,2.088758566663579
2014.0,Private,Degree or equivalent,1.0,Female,57.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",4.2421435399339025,1.9876026781734075
2002.0,Private,Other qualifications,0.0,Male,64.0,SKILLED TRADE OCCUPATIONS,7.169995706217525,1.8277238743296977
2011.0,Private,Degree or equivalent,1.0,Female,69.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,-18.181100683294197,1.293609713124228
2017.0,Private,Degree or equivalent,1.0,Female,39.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,18.395619692217448,2.645741317153934
2008.0,Private,Higher education,0.0,Female,44.0,"PROCESS, PLANT AND MACHINE OPERATIVES",10.267027398484359,2.333412688543594
2017.0,Private,GCSE grades A-C or equiv,0.0,Male,36.0,SKILLED TRADE OCCUPATIONS,8.056161789154952,1.9332518091316016
2005.0,Private,Other qualifications,0.0,Male,45.0,"PROCESS, PLANT AND MACHINE OPERATIVES",10.174403758260173,2.000858025282075
2014.0,Private,Other qualifications,0.0,Male,52.0,"PROCESS, PLANT AND MACHINE OPERATIVES",13.770266623832814,2.6072316332532677
2011.0,Private,Other qualifications,0.0,Male,24.0,ELEMENTARY OCCUPATIONS,5.748069780160711,1.4671765627803
2006.0,Private,Degree or equivalent,1.0,Male,31.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",15.457732850518088,2.8258415997744284
2002.0,Private,GCE A Level or equiv,0.0,Male,58.0,PROFESSIONAL OCCUPATIONS,6.138270789638373,2.090699844024002
2006.0,Public,Higher education,0.0,Female,32.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,13.876693417695057,2.3089157255296033
2005.0,Private,Other qualifications,0.0,Female,59.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",9.986770929487646,1.8781391875202962
2002.0,Private,GCE A Level or equiv,0.0,Male,18.0,"PROCESS, PLANT AND MACHINE OPERATIVES",-0.645423507875245,0.48129424214319205
2013.0,Private,GCE A Level or equiv,0.0,Male,38.0,"PROCESS, PLANT AND MACHINE OPERATIVES",11.924731800134493,2.228575185540261
2003.0,Private,GCE A Level or equiv,0.0,Male,54.0,"PROCESS, PLANT AND MACHINE OPERATIVES",12.814132491894405,2.374096092122018
2004.0,Private,GCE A Level or equiv,0.0,Female,26.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,2.374407653388227,1.6998895238690117
2007.0,Private,Degree or equivalent,1.0,Female,27.0,PROFESSIONAL OCCUPATIONS,13.714377834558828,2.6529410182252824
2013.0,Private,Degree or equivalent,1.0,Male,43.0,PROFESSIONAL OCCUPATIONS,23.531268023270744,3.806098491789608
2005.0,Private,GCSE grades A-C or equiv,0.0,Female,29.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,16.885421113070052,2.601404607047111
2013.0,Public,Degree or equivalent,1.0,Female,32.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,7.7780773621429224,2.1130610542188335
2007.0,Private,No qualification,0.0,Female,38.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",2.1892674376001207,1.9510400401190033
2010.0,Private,Higher education,0.0,Male,43.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,16.437685401285076,2.7841404721711975
2008.0,Private,Degree or equivalent,1.0,Male,47.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,25.567668908315607,3.1988695227429202
2009.0,Private,GCE A Level or equiv,0.0,Male,29.0,"PROCESS, PLANT AND MACHINE OPERATIVES",16.145894040086073,2.9181707680195093
2004.0,Public,Degree or equivalent,1.0,Male,45.0,PROFESSIONAL OCCUPATIONS,22.086444687717325,2.8858720938284614
2002.0,Private,GCE A Level or equiv,0.0,Male,44.0,"PROCESS, PLANT AND MACHINE OPERATIVES",9.985720261346009,2.092876481912916
2002.0,Public,Higher education,0.0,Female,50.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",16.548396100693594,2.4851778540773624
2003.0,Private,GCSE grades A-C or equiv,0.0,Female,36.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,8.723394212539759,1.8154749003844584
2007.0,Private,Degree or equivalent,1.0,Female,55.0,PROFESSIONAL OCCUPATIONS,18.742125105306698,3.0037297417693645
2010.0,Public,Don't know,0.0,Female,39.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,5.654958984433321,2.1147673881760527
2020.0,Public,GCE A Level or equiv,0.0,Female,17.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",5.246627654116071,1.2784734507808158
2015.0,Private,No qualification,0.0,Male,44.0,"PROCESS, PLANT AND MACHINE OPERATIVES",10.801936364197328,1.8141542252354008
2016.0,Private,GCE A Level or equiv,0.0,Female,49.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",11.064391512707294,2.344582599396456
2019.0,Public,GCE A Level or equiv,0.0,Female,58.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",7.234374310823912,2.0893655105598805
2005.0,Private,Degree or equivalent,1.0,Male,29.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,19.332333423728326,2.6557861270450975
2014.0,Public,GCE A Level or equiv,0.0,Female,40.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",9.995006202976997,2.6374036000245447
2008.0,Private,Degree or equivalent,1.0,Male,34.0,PROFESSIONAL OCCUPATIONS,20.155128052572202,2.5560755485389426
2011.0,Private,GCE A Level or equiv,0.0,Male,33.0,"PROCESS, PLANT AND MACHINE OPERATIVES",13.611494739708974,2.5957709761746823
2012.0,Public,Higher education,0.0,Female,48.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",12.073501229583368,2.4678840817070804
2019.0,Private,GCE A Level or equiv,0.0,Male,52.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",1.330778087125399,1.8866844157327125
2010.0,Public,Higher education,0.0,Female,31.0,ELEMENTARY OCCUPATIONS,14.553812664250387,2.718801703090461
